Arquivo,Formato,Tamanho original (bits),Tamanho comprimido (bits),Tamanho Dicionário,Qtd de bits por código,Taxa de compressão,Tempo de compressão (ms),Tempo Relativo (ms/kB)
ex (2).txt,ascii,93944,36336,3283,12,2.5854249229414354,50.364968,4.391869814527803
ex (2).txt,ascii,93944,36336,3283,12,2.5854249229414354,49.819603,4.34431350353402
ex (2).txt,binary,93944,87321,6718,13,1.0758465890221138,710.606504,61.96551648607681
ex (2).txt,binary,93944,87321,6718,13,1.0758465890221138,695.226278,60.62434715762582
ex (2).txt,binary,93944,87321,6718,13,1.0758465890221138,710.288905,61.93782157200034
ex (2).txt,binary,93944,87321,6718,13,1.0758465890221138,700.037831,61.04391884050072
ex (2).txt,binary,93944,87321,6718,13,1.0758465890221138,694.386984,60.55115997751852
ex (2).txt,binary,93944,87321,6718,13,1.0758465890221138,689.891544,60.15915362820403
ex (2).txt,binary,93944,87321,6718,13,1.0758465890221138,689.510953,60.12596575593971
ex (2).txt,binary,93944,87321,6718,13,1.0758465890221138,702.274521,61.23896018938943
ex (2).txt,binary,93944,87321,6718,13,1.0758465890221138,692.497412,60.38638762564933
ex (2).txt,binary,93944,87321,6718,13,1.0758465890221138,690.018343,60.170210613301535
ex (2).txt,binary,93944,87321,6718,13,1.0758465890221138,688.41178,60.03011689687474
ex (2).txt,binary,93944,87321,6718,13,1.0758465890221138,704.83897,61.462582413352635
ex (2).txt,binary,93944,87321,6718,13,1.0758465890221138,688.43763,60.03237103976837
ex (2).txt,binary,93944,87321,6718,13,1.0758465890221138,702.162586,61.22919935825598
ex (2).txt,binary,93944,87321,6718,13,1.0758465890221138,700.246343,61.06210127156604
ex (2).txt,binary,93944,87321,6718,13,1.0758465890221138,702.11293,61.22486931107894
ex (2).txt,binary,93944,87321,6718,13,1.0758465890221138,721.940483,62.95384949263391
ex (2).txt,binary,93944,87321,6718,13,1.0758465890221138,700.637736,61.09623108779699
ex (2).txt,binary,93944,87321,6718,13,1.0758465890221138,699.420699,60.990104383547646
ex (2).txt,binary,93944,87321,6718,13,1.0758465890221138,696.377144,60.72470369207188
ex (3).txt,ascii,71768,40092,3596,12,1.7900828095380625,34.010507,3.882149054508973
ex (3).txt,ascii,71768,40092,3596,12,1.7900828095380625,31.336622,3.576936899788206
ex (3).txt,ascii,71768,40092,3596,12,1.7900828095380625,50.484416,5.762572955523353
ex (3).txt,ascii,71768,40092,3596,12,1.7900828095380625,33.057413,3.7733575868910934
ex (3).txt,ascii,71768,40092,3596,12,1.7900828095380625,32.662774,3.7283112892654104
ex (3).txt,ascii,71768,40092,3596,12,1.7900828095380625,34.028586,3.884212692453461
ex (3).txt,ascii,71768,40092,3596,12,1.7900828095380625,33.413537,3.8140075674952625
ex (3).txt,ascii,71768,40092,3596,12,1.7900828095380625,32.951336,3.761249366179913
ex (3).txt,ascii,71768,40092,3596,12,1.7900828095380625,39.330668,4.489421918626686
ex (3).txt,ascii,71768,40092,3596,12,1.7900828095380625,32.694719,3.7319576698249914
ex (3).txt,ascii,71768,40092,3596,12,1.7900828095380625,32.18328,3.6735791684316133
ex (3).txt,ascii,71768,40092,3596,12,1.7900828095380625,51.636072,5.8940293978374765
